,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
5,1392549749740359685,1392549749740359680,2021-05-12 20:38:27 ora legale Europa occidentale,2021-05-12,20:38:27,200,17565514,shondarhimes,shonda rhimes,,THRILLED to be partnering with @SeriesFest for a third year of discovering and mentoring up and coming talent. Cheers to another year! 🎉 https://t.co/zx1OdT7kVm,en,"[{'screen_name': 'seriesfest', 'name': 'seriesfest', 'id': '3033473752'}]",['https://deadline.com/2021/05/seriesfest-shondaland-third-cycle-women-directing-mentorship-competition-1234754407/'],[],1,4,112,[],[],https://twitter.com/shondarhimes/status/1392549749740359685,False,,0,,,,,,,,[],,,,
6,1392497001833566211,1392497001833566208,2021-05-12 17:08:51 ora legale Europa occidentale,2021-05-12,17:08:51,200,17565514,shondarhimes,shonda rhimes,,Now I wish I was a college student...go Dean Rashad! ⁦@PhyliciaRashad⁩ ⁦@HowardU⁩  https://t.co/gee6vSdyTW,en,"[{'screen_name': 'phyliciarashad', 'name': 'phylicia rashad', 'id': '1156984812655259649'}, {'screen_name': 'howardu', 'name': 'howard university', 'id': '27147528'}]",[],['https://pbs.twimg.com/media/E1MkpFvXIBASRaG.jpg'],62,404,4596,[],[],https://twitter.com/shondarhimes/status/1392497001833566211,False,,1,https://pbs.twimg.com/media/E1MkpFvXIBASRaG.jpg,,,,,,,[],,,,
7,1392474304823111683,1392474304823111680,2021-05-12 15:38:39 ora legale Europa occidentale,2021-05-12,15:38:39,200,17565514,shondarhimes,shonda rhimes,,Honored to take part in such an important conversation with a few other badass women.❤️  https://t.co/R2xet1ONxa,en,[],['https://www.hollywoodreporter.com/news/general-news/hollywood-top-female-executives-1234950963/'],[],14,105,637,[],[],https://twitter.com/shondarhimes/status/1392474304823111683,False,,0,,,,,,,,[],,,,
0,1392947917871362057,1392947917871362048,2021-05-13 23:00:37 ora legale Europa occidentale,2021-05-13,23:00:37,200,17565514,shondarhimes,shonda rhimes,,Words to live by. #Repost #DomoINK  https://t.co/qQgRalsBHH,en,[],[],['https://pbs.twimg.com/media/E1S-v8SXoAYKn0g.jpg'],15,317,1473,"['repost', 'domoink']",[],https://twitter.com/shondarhimes/status/1392947917871362057,False,,1,https://pbs.twimg.com/media/E1S-v8SXoAYKn0g.jpg,,,,,,,[],,,,
1,1393260080414535686,1393260080414535680,2021-05-14 19:41:03 ora legale Europa occidentale,2021-05-14,19:41:03,200,17565514,shondarhimes,shonda rhimes,,A little BTS photo dump. #THRPower100 @THR  https://t.co/VgBYlVVFk4,en,"[{'screen_name': 'thr', 'name': 'the hollywood reporter', 'id': '17446621'}]",[],"['https://pbs.twimg.com/media/E1Xap_qWEAQQiT1.jpg', 'https://pbs.twimg.com/media/E1XaqGRXoAESUEc.jpg', 'https://pbs.twimg.com/media/E1XaqM_XIAU-l78.jpg']",13,22,528,['thrpower100'],[],https://twitter.com/shondarhimes/status/1393260080414535686,False,,1,https://pbs.twimg.com/media/E1Xap_qWEAQQiT1.jpg,,,,,,,[],,,,
0,1394358947704827904,1394358947704827904,2021-05-17 20:27:33 ora legale Europa occidentale,2021-05-17,20:27:33,200,17565514,shondarhimes,shonda rhimes,,CELEBRATE 👏🏾 YOUR 👏🏾 SELF 👏🏾  https://t.co/jTguRpu8A7,en,[],[],"['https://pbs.twimg.com/media/E1nCEruVEAMsz2z.jpg', 'https://pbs.twimg.com/media/E1nCEruVIAAWlqn.jpg']",10,88,502,[],[],https://twitter.com/shondarhimes/status/1394358947704827904,False,,1,https://pbs.twimg.com/media/E1nCEruVEAMsz2z.jpg,,,,,,,[],,,,
1,1395107266735611905,1395107266735611904,2021-05-19 22:01:06 ora legale Europa occidentale,2021-05-19,22:01:06,200,17565514,shondarhimes,shonda rhimes,,Dedicating #WomanCrushWednesday and a belated congratulations to #ChloeZhao - the first Asian woman to win Best Director at the Oscars. 👏🏾  https://t.co/gAgudKQfHJ,en,[],[],['https://pbs.twimg.com/media/E1xqqNgX0Aom-JU.jpg'],5,87,1072,"['womancrushwednesday', 'chloezhao']",[],https://twitter.com/shondarhimes/status/1395107266735611905,False,,1,https://pbs.twimg.com/media/E1xqqNgX0Aom-JU.jpg,,,,,,,[],,,,
2,1395074311887761415,1395074311887761408,2021-05-19 19:50:09 ora legale Europa occidentale,2021-05-19,19:50:09,200,17565514,shondarhimes,shonda rhimes,,Because play is just as important as work. #Repost via Sade Solomon  https://t.co/ZKuliKqYAi,en,[],[],['https://pbs.twimg.com/media/E1xMsY4XsAYxcqX.jpg'],6,145,628,['repost'],[],https://twitter.com/shondarhimes/status/1395074311887761415,False,,1,https://pbs.twimg.com/media/E1xMsY4XsAYxcqX.jpg,,,,,,,[],,,,
0,1395498274497318919,1395498274497318912,2021-05-20 23:54:50 ora legale Europa occidentale,2021-05-20,23:54:50,200,17565514,shondarhimes,shonda rhimes,,This definitely has me thinking about all the fabulous shoes in my closet that are collecting dust. #ThrowbackThursday  https://t.co/rOzHLMH5au,en,[],[],['https://pbs.twimg.com/media/E13OSHlUYAAvkuC.jpg'],5,18,587,['throwbackthursday'],[],https://twitter.com/shondarhimes/status/1395498274497318919,False,,1,https://pbs.twimg.com/media/E13OSHlUYAAvkuC.jpg,,,,,,,[],,,,
2,1395460521919348737,1395460521919348736,2021-05-20 21:24:49 ora legale Europa occidentale,2021-05-20,21:24:49,200,17565514,shondarhimes,shonda rhimes,,Love this. Love @KatieQLowes even more. ❤️ @people   https://t.co/frRjwZlE9B,en,"[{'screen_name': 'katieqlowes', 'name': 'katie lowes', 'id': '362786454'}, {'screen_name': 'people', 'name': 'people', 'id': '25589776'}]",['https://people.com/home/inside-katie-lowes-ranch-style-home-where-she-even-records-her-podcast-from-her-closet/'],[],2,8,119,[],[],https://twitter.com/shondarhimes/status/1395460521919348737,False,,0,,,,,,,,[],,,,
