,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
2,1312082310418911235,1312082310418911232,2020-10-02 19:29:34 ora legale Europa occidentale,2020-10-02,19:29:34,200,151967576,attorneycrump,Ben Crump,,"GRAND JURY RECORDING from #BreonnaTaylor case has been released publicly. With 20+ hours of audio, everyone can now listen to exactly what @kyoag presented to the grand jury! We will be reviewing all footage and provide updates when available.  FULL AUDIO:  https://t.co/fDIOI46KrM",en,"[{'screen_name': 'kyoag', 'name': 'attorney general daniel cameron', 'id': '1205238738097455104'}]",['https://www.newsnationnow.com/us-news/mid-south/breonna-taylor-grand-jury-recording-to-be-released-by-friday-afternoon/'],[],60,676,1595,['breonnataylor'],[],https://twitter.com/AttorneyCrump/status/1312082310418911235,False,,0,,,,,,,,[],,,,
3,1312053918046842885,1312053918046842880,2020-10-02 17:36:45 ora legale Europa occidentale,2020-10-02,17:36:45,200,151967576,attorneycrump,Ben Crump,,"“I beat the ever-living f*** out of him,” Louisiana Trooper Chris Hollingsworth BRAGGED after killing #RonaldGreene, a Black man. Cops tried to cover up his death saying it was due to a crash, but audio from Hollingsworth’s bodycam PROVES this was death by COP!! DISGUSTING.  https://t.co/FxrKgLYz7q",en,[],[],[],345,3358,5317,['ronaldgreene'],[],https://twitter.com/AttorneyCrump/status/1312053918046842885,False,,1,https://pbs.twimg.com/amplify_video_thumb/1312048507189112833/img/WSpOcNBByzXEOyF_.jpg,,,,,,,[],,,,
4,1312026297661620229,1312026297661620224,2020-10-02 15:47:00 ora legale Europa occidentale,2020-10-02,15:47:00,200,151967576,attorneycrump,Ben Crump,,"Yes, @GavinNewsom! This corporate boardroom diversity law is a WIN for representation &amp; racial equality, esp. with COVID-19 disproportionately affecting minorities. Leadership should be as diverse as the people it serves. We need to do this in EVERY state!  https://t.co/3WTkVyvMoT",en,"[{'screen_name': 'gavinnewsom', 'name': 'gavin newsom', 'id': '11347122'}]",['https://fox40.com/news/california-connection/governor-newsom-signs-corporate-boardroom-diversity-law/'],[],12,115,577,[],[],https://twitter.com/AttorneyCrump/status/1312026297661620229,False,,0,,,,,,,,[],,,,
5,1311856176427077633,1311856176427077632,2020-10-02 04:31:00 ora legale Europa occidentale,2020-10-02,04:31:00,200,151967576,attorneycrump,Ben Crump,,"GRAPHIC: Shataean Kelly was handcuffed, hogtied &amp; driven UPSIDE DOWN in a cop car for 21 mins. Incredibly upsetting &amp; reminds me of Freddie Gray's death in police custody. Cops must treat people with RESPECT. It's unacceptable that ANYONE should have to beg for their life!  https://t.co/244JQH91RK",en,[],[],[],143,770,1415,[],[],https://twitter.com/AttorneyCrump/status/1311856176427077633,False,,1,https://pbs.twimg.com/amplify_video_thumb/1311788533057757188/img/fEiEsvuazLjbUz81.jpg,,,,,,,[],,,,
6,1311839063624695808,1311839063624695808,2020-10-02 03:23:00 ora legale Europa occidentale,2020-10-02,03:23:00,200,151967576,attorneycrump,Ben Crump,,"Usually POC are profiled because they ""fit a description"" ... Jaaye Person-Lynn did NOT fit the description (aka stereotype) of a lawyer. Kicked out of court, tased, tackled AND arrested because officers did not believe Jaaye was a lawyer. There are 2 justice systems in America!!  https://t.co/1cFm3gWeiJ",en,[],[],[],176,1239,2732,[],[],https://twitter.com/AttorneyCrump/status/1311839063624695808,False,,1,https://pbs.twimg.com/amplify_video_thumb/1311782649275584512/img/MZHcnyqCDXth7J_W.jpg,,,,,,,[],,,,
7,1311820441011408897,1311820441011408896,2020-10-02 02:09:00 ora legale Europa occidentale,2020-10-02,02:09:00,200,151967576,attorneycrump,Ben Crump,,"Driving while Black entails so much more than simply driving while Black."" Exactly! 🙌🏾  This powerful @PBS documentary will explore discrimination and danger faced by Black drivers in America. Excited to watch this on 10/13!  https://t.co/NN65mYg9Ta",en,"[{'screen_name': 'pbs', 'name': 'pbs', 'id': '12133382'}]",['https://pbs.org/video/trailer-5ux5ln/'],[],21,573,1354,[],[],https://twitter.com/AttorneyCrump/status/1311820441011408897,False,,0,,,,,,,,[],,,,
0,1312877909015777281,1312877909015777280,2020-10-05 00:11:00 ora legale Europa occidentale,2020-10-05,00:11:00,200,151967576,attorneycrump,Ben Crump,,Lamar Street – where Botham Jean was shot and killed in his OWN home – was named after SLAVEHOLDER. Help us change its name to Botham Jean Blvd in honor of Botham. Let's remind everyone that BLACK LIVES MATTER. Sign the petition:  https://t.co/RN3UjWzQAR,en,[],['https://action.bencrump.com/bothamjean?utm_source=t.co&utm_medium=referral&utm_campaign=social_organic&utm_content=100420'],[],16,269,985,[],[],https://twitter.com/AttorneyCrump/status/1312877909015777281,False,,0,,,,,,,,[],,,,
1,1312858279492624386,1312858279492624384,2020-10-04 22:53:00 ora legale Europa occidentale,2020-10-04,22:53:00,200,151967576,attorneycrump,Ben Crump,,"#BlackGrief is at an ALL-TIME HIGH! Black people have ALWAYS carried a disproportionate amount of grief in America, but 2020 has revealed many ways our community has been hit AND not been able to recover. Grief has always been an #EqualityProblem!  https://t.co/8Lmm7ZRE0W",en,[],['https://www.theatlantic.com/ideas/archive/2020/09/relentlessness-black-grief/616511/'],[],17,232,958,"['blackgrief', 'equalityproblem']",[],https://twitter.com/AttorneyCrump/status/1312858279492624386,False,,0,,,,,,,,[],,,,
2,1312791590365065216,1312791590365065216,2020-10-04 18:28:00 ora legale Europa occidentale,2020-10-04,18:28:00,200,151967576,attorneycrump,Ben Crump,,"Many airline professionals of color STILL encounter racial discrimination daily... If you or someone you know has been the victim of this discrimination, let me know! We must raise ours voices in unity and fight for change and equality!! Share YOUR story:  https://t.co/FOFX96wZKy  https://t.co/VwrxZnx2HW",en,[],['https://act.bencrump.com/a/airline-discrimination?utm_source=t.co&utm_medium=referral&utm_campaign=social_organic&utm_content=100420'],['https://pbs.twimg.com/media/EjWtkT3XYAEOPbc.jpg'],10,63,250,[],[],https://twitter.com/AttorneyCrump/status/1312791590365065216,False,,1,https://pbs.twimg.com/media/EjWtkT3XYAEOPbc.jpg,,,,,,,[],,,,
3,1312761139508523011,1312761139508523008,2020-10-04 16:27:00 ora legale Europa occidentale,2020-10-04,16:27:00,200,151967576,attorneycrump,Ben Crump,,"Broadway's nickname ""The Great White Way"" is true in more ways than one: There's an overwhelming lack of Black representation in theatre, with 94% of directors &amp; 2/3 of actors being white. This needs to change. Black Talent Matters!!  https://t.co/qIonqViwlH",en,[],['https://www.nytimes.com/2020/10/01/theater/new-york-theater-diversity-report.html'],[],37,176,976,[],[],https://twitter.com/AttorneyCrump/status/1312761139508523011,False,,0,,,,,,,,[],,,,
